key	key	key	key	key	key	key
1001	02	Kijowska	2201	52.249078	21.044443	Z\\u0105bkowska
1001	03	Kijowska	2201	52.248998	21.043983	al.Zieleniecka
1001	03	Kijowska	2201	52.248928	21.044169	al.Zieleniecka
1001	04	Kijowska	2201	52.249905	21.041726	Z\\u0105bkowska
1001	04	Kijowska	2201	52.249968	21.041587	Z\\u0105bkowska
1001	04	Kijowska	2201	52.249969	21.041588	Z\\u0105bkowska
1001	05	Kijowska	1203	52.250319	21.043861	al.Zieleniecka
1001	06	Kijowska	1203	52.250008	21.043710	Dw.Wschodni (Kijowska)
1001	06	Kijowska	1203	52.250078	21.043848	Dw.Wschodni (Kijowska)
1001	07	Kijowska	1203	52.250228	21.043690	Z\\u0105bkowska
1001	08	Kijowska	1203	52.249944	21.044087	Dw.Wschodni (Kijowska)
1001	88	Kijowska	1203	52.249944	21.044087	Dw.Wschodni (Kijowska)
1002	01	Z\\u0105bkowska	2201	52.251325	21.038457	Kijowska
1002	02	Z\\u0105bkowska	2201	52.251790	21.038592	Dw.Wile\\u0144ski
1002	03	Z\\u0105bkowska	2201	52.251616	21.038379	Kijowska
1002	04	Z\\u0105bkowska	2201	52.251880	21.038002	Dw.Wile\\u0144ski
1002	06	Z\\u0105bkowska	2201	52.253108	21.036732	Dw.Wile\\u0144ski
1003	01	Dw.Wile\\u0144ski	2201	52.253739	21.035454	Z\\u0105bkowska
1003	02	Dw.Wile\\u0144ski	2201	52.255298	21.034611	Wile\\u0144ska
1003	03	Dw.Wile\\u0144ski	0123	52.254118	21.033248	Park Praski
1003	04	Dw.Wile\\u0144ski	0123	52.255099	21.036174	Szwedzka
1003	05	Dw.Wile\\u0144ski	0123	52.254287	21.033324	Park Praski
1003	06	Dw.Wile\\u0144ski	0123	52.256048	21.038309	______________________________
1003	07	Dw.Wile\\u0144ski	2201	52.253857	21.035613	Z\\u0105bkowska
1003	08	Dw.Wile\\u0144ski	2201	52.255370	21.034193	11 Listopada
1003	09	Dw.Wile\\u0144ski	2501	52.255999	21.035241	Targowa
1003	10	Dw.Wile\\u0144ski	2501	52.255856	21.035227	______________________________
1003	11	Dw.Wile\\u0144ski	null	52.256139	21.035580	null
1003	12	Dw.Wile\\u0144ski	2501	52.255985	21.035521	______________________________
1003	13	Dw.Wile\\u0144ski	null	52.256291	21.035926	null
1003	14	Dw.Wile\\u0144ski	2501	52.256246	21.036138	______________________________
1004	01	Ratuszowa-ZOO	1101	52.256614	21.028536	Dw.Wile\\u0144ski
1004	02	Ratuszowa-ZOO	1101	52.257011	21.028103	pl.Hallera
1004	04	Ratuszowa-ZOO	null	52.255951	21.027758	null
1004	05	Ratuszowa-ZOO	null	52.255816	21.029591	null
1004	06	Ratuszowa-ZOO	null	52.255522	21.029812	null
1004	71	Ratuszowa-ZOO	null	52.255870	21.029455	______________________________
1005	01	pl.Hallera	1101	52.258094	21.027097	\\u015bw.Cyryla i Metodego
1005	02	pl.Hallera	1101	52.260034	21.024845	______________________________
1005	03	pl.Hallera	1101	52.259193	21.025233	Ratuszowa-ZOO
1005	04	pl.Hallera	1101	52.258983	21.025560	rondo Starzy\\u0144skiego
1005	05	pl.Hallera	0012	52.259699	21.025992	rondo Starzy\\u0144skiego
1005	06	pl.Hallera	0012	52.259900	21.028465	D\\u0105browszczak\\u00f3w
1005	07	pl.Hallera	0012	52.261451	21.029709	Jagiello\\u0144ska
1005	08	pl.Hallera	0012	52.260974	21.030804	D\\u0105browszczak\\u00f3w
1005	09	pl.Hallera	0012	52.259662	21.027361	D\\u0105browszczak\\u00f3w
1005	10	pl.Hallera	0012	52.259771	21.027364	______________________________
1005	11	pl.Hallera	0012	52.259600	21.027130	D\\u0105browszczak\\u00f3w
1005	12	pl.Hallera	null	52.259870	21.026924	null
1005	18	pl.Hallera	0012	52.259927	21.027177	D\\u0105browszczak\\u00f3w
1006	01	rondo Starzy\\u0144skiego	2001	52.263615	21.019547	Wybrze\\u017ce Helskie
1006	02	rondo Starzy\\u0144skiego	2001	52.263264	21.020062	Namys\\u0142owska
1006	03	rondo Starzy\\u0144skiego	2001	52.263453	21.019762	Wybrze\\u017ce Helskie
1006	04	rondo Starzy\\u0144skiego	2001	52.263465	21.020062	Namys\\u0142owska
1006	05	rondo Starzy\\u0144skiego	1101	52.263049	21.021071	pl.Hallera
1006	06	rondo Starzy\\u0144skiego	1101	52.263146	21.021061	Starzy\\u0144skiego
1006	07	rondo Starzy\\u0144skiego	2001	52.264116	21.022528	Wybrze\\u017ce Helskie
1006	08	rondo Starzy\\u0144skiego	2001	52.264224	21.022909	Namys\\u0142owska
1006	09	rondo Starzy\\u0144skiego	1101	52.262572	21.021846	pl.Hallera
1006	10	rondo Starzy\\u0144skiego	1101	52.262745	21.022003	Starzy\\u0144skiego
1006	12	rondo Starzy\\u0144skiego	2001	52.264087	21.023168	Namys\\u0142owska
1007	01	Gol\\u0119dzin\\u00f3w	1101	52.266656	21.020014	rondo Starzy\\u0144skiego
1007	02	Gol\\u0119dzin\\u00f3w	1101	52.266819	21.020003	PIMot
1007	03	Gol\\u0119dzin\\u00f3w	1101	52.266739	21.020309	rondo Starzy\\u0144skiego
1007	04	Gol\\u0119dzin\\u00f3w	1101	52.266724	21.020689	PIMot
1008	01	PIMot	1101	52.269904	21.017729	rondo Starzy\\u0144skiego
1008	02	PIMot	1101	52.270821	21.017146	\\u015aliwice
1008	03	PIMot	1101	52.270517	21.016711	Gol\\u0119dzin\\u00f3w
1008	04	PIMot	1101	52.270007	21.017369	Batalionu Plater\\u00f3wek
1009	01	Batalionu Plater\\u00f3wek	1101	52.273735	21.014418	PIMot
1009	02	Batalionu Plater\\u00f3wek	1101	52.273851	21.014401	\\u015aliwice
1010	01	\\u015aliwice	1101	52.278146	21.011972	PIMot
1010	02	\\u015aliwice	1101	52.278418	21.012260	Budzi\\u0144skiej-Tylickiej
1010	03	\\u015aliwice	1101	52.278018	21.011818	Batalionu Plater\\u00f3wek
1010	04	\\u015aliwice	1101	52.278304	21.011682	Budzi\\u0144skiej-Tylickiej
1011	01	Budzi\\u0144skiej-Tylickiej	1101	52.282073	21.009617	\\u015aliwice
1011	02	Budzi\\u0144skiej-Tylickiej	1101	52.281939	21.010061	Dyrekcja FSO
1011	03	Budzi\\u0144skiej-Tylickiej	1101	52.281954	21.009401	\\u015aliwice
1011	04	Budzi\\u0144skiej-Tylickiej	1101	52.282102	21.009361	Dyrekcja FSO
1012	01	Dyrekcja FSO	1101	52.286644	21.006507	Budzi\\u0144skiej-Tylickiej
1012	02	Dyrekcja FSO	1101	52.286790	21.006862	\\u017bera\\u0144 FSO
1012	03	Dyrekcja FSO	1101	52.287093	21.005765	Budzi\\u0144skiej-Tylickiej
1012	04	Dyrekcja FSO	1101	52.286796	21.006136	\\u017bera\\u0144 FSO
1013	01	\\u017bera\\u0144 FSO	1101	52.289797	21.003259	Dyrekcja FSO
1013	02	\\u017bera\\u0144 FSO	1514	52.293770	20.999712	Kana\\u0142 \\u017bera\\u0144ski
1013	03	\\u017bera\\u0144 FSO	2205	52.290679	21.002777	most Grota-Roweckiego
1013	04	\\u017bera\\u0144 FSO	2205	52.290331	21.003379	PKP Toru\\u0144ska
1013	05	\\u017bera\\u0144 FSO	1101	52.290408	21.002175	Dyrekcja FSO
1013	06	\\u017bera\\u0144 FSO	1101	52.290496	21.002229	Dyrekcja FSO
